,Invoice/Item Number,Date,Store Number,Store Name,Address,City,Zip Code,Store Location,County Number,County,Category,Category Name,Vendor Number,Vendor Name,Item Number,Item Description,Pack,Bottle Volume (ml),State Bottle Cost,State Bottle Retail,Bottles Sold,Sale (Dollars),Volume Sold (Liters),Volume Sold (Gallons),Year,population,county,year
9148,INV-10120100029,01/31/2018,3973,MMDG SPIRITS / Ames,126A Welch Ave,Ames,50014.0,POINT (-93.650131 42.021789),85.0,STORY,1081400.0,American Schnapps,434,LUXCO INC,82127,Arrow Peach Schnapps,12,1000,5.0,7.5,8,60.0,8.0,2.11,2018,,,
9149,INV-10120600029,01/31/2018,4509,AJ'S LIQUOR II,2515 Chamberlain,Ames,50010.0,POINT (-93.650838 42.021461),85.0,STORY,1081600.0,Whiskey Liqueur,421,SAZERAC COMPANY  INC,86886,Southern Comfort,12,750,10.33,15.5,12,186.0,9.0,2.38,2018,,,
9150,INV-10159900009,02/01/2018,4927,Kum & Go #576 / West Des Moines,3501 Ep True Pkwy,West Des Moines,50265.0,POINT (-93.752572 41.570151),77.0,POLK,1031200.0,American Flavored Vodka,205,E & J Gallo Winery,40594,New Amsterdam Peach,12,750,7.5,11.25,5,56.25,3.75,0.99,2018,,,
9151,INV-10098500020,01/30/2018,2576,Hy-Vee Wine and Spirits / Storm Lake,1250 N Lake St,Storm Lake,50588.0,POINT (-95.200758 42.65318400000001),11.0,BUENA VIST,1011200.0,Straight Bourbon Whiskies,259,Heaven Hill Brands,17127,Cabin Still Str Bourbon,12,1000,5.0,7.5,3,22.5,3.0,0.79,2018,,,
9152,INV-10074600007,01/29/2018,2650,Hy-Vee Wine and Spirits / Harlan,1808 23rd St,Harlan,51537.0,POINT (-95.339881 41.650658),83.0,SHELBY,1031200.0,American Flavored Vodka,325,Lonely Oak Distillery,39699,North Forty Peach Vodka,6,750,14.0,21.0,6,126.0,4.5,1.19,2018,11559,,
9153,INV-10093300082,01/30/2018,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002.0,POINT (-90.741064 42.516633),31.0,DUBUQUE,1031100.0,American Vodkas,301,FIFTH GENERATION INC,38178,Titos Handmade Vodka,6,1750,19.0,28.5,12,333.24,21.0,5.55,2018,,,
9154,INV-10124300116,01/31/2018,2543,Hy-Vee Food Store #1 / Ottumwa,1025 North Quincy Ave,Ottumwa,52501.0,POINT (-92.438463 41.01558),90.0,WAPELLO,1022100.0,Mixto Tequila,395,PROXIMO,87403,Jose Cuervo Especial Silver,24,375,5.5,8.25,5,41.25,1.88,0.5,2018,34991,,
9155,INV-10128100079,01/31/2018,2637,Hy-Vee #5 / Davenport,2351 W Locust,Davenport,52804.0,POINT (-90.611972 41.538207),82.0,SCOTT,1062200.0,White Rum,35,BACARDI USA INC,43124,Bacardi Superior Rum,24,375,4.5,6.75,4,27.0,1.5,0.4,2018,,,
9156,INV-10093300087,01/30/2018,2624,Hy-Vee #2 / Dubuque,2395 NW Arterial Rd,Dubuque,52002.0,POINT (-90.741064 42.516633),31.0,DUBUQUE,1032200.0,Imported Flavored Vodka,370,PERNOD RICARD USA,34036,Absolut Pears,12,750,11.49,17.24,12,206.88,9.0,2.38,2018,,,
9157,INV-10170700041,02/02/2018,4947,The Music Station,1420 W First St,Cedar Falls,50647.0,POINT (-92.462826 42.537839),7.0,BLACK HAWK,1011100.0,Blended Whiskies,434,LUXCO INC,24156,Hawkeye Blend Whiskey,12,750,3.5,5.25,2,10.5,1.5,0.4,2018,131723,,
9158,INV-10043500022,01/26/2018,5145,South Side Food Mart,1101 Army Post Rd,Des Moines,50315.0,POINT (-93.628783 41.526511),77.0,POLK,1031100.0,American Vodkas,297,Laird & Company,35913,Five O'clock Vodka,48,200,1.13,1.7,48,81.6,9.6,2.54,2018,,,
9159,INV-10070400005,01/29/2018,4267,Main Street Market Of Anita,735 Main St,Anita,50020.0,POINT (-94.765365 41.444887),15.0,CASS,1081400.0,American Schnapps,434,LUXCO INC,81207,Paramount Peppermint Schnapps,12,1000,4.06,6.09,12,73.08,12.0,3.17,2018,,,
9160,INV-10098300001,01/30/2018,3749,Wal-Mart 1526 / Storm Lake,1831 Lake Ave NW,Storm Lake,50588.0,POINT (-95.200739 42.663904),11.0,BUENA VIST,1012100.0,Canadian Whiskies,260,DIAGEO AMERICAS,10781,Crown Royal Bourbon Mash,12,750,15.59,23.39,24,561.36,18.0,4.76,2018,,,
9161,INV-10070200036,01/29/2018,3461,Hometown Foods / Stuart,611 S Division St,Stuart,50250.0,POINT (-94.318443 41.49759900000001),1.0,ADAIR,1012100.0,Canadian Whiskies,115,CONSTELLATION BRANDS INC,10550,Black Velvet Toasted Caramel,12,750,6.75,10.13,3,30.39,2.25,0.59,2018,7074,,
9162,INV-10075600158,01/29/2018,2633,Hy-Vee #3 / BDI / Des Moines,3221 SE 14th St,Des Moines,50320.0,POINT (-93.596754 41.554101),77.0,POLK,1081300.0,American Cordials & Liqueur,322,Prestige Wine & Spirits Group,75211,Kinky Liqueur,12,750,10.0,15.0,12,180.0,9.0,2.38,2018,,,
