,County,population,Year,county,year
392,DAVIS,8969,2017,,
393,VAN BUREN,7676,1990,,
394,SIOUX,29903,1990,,
395,MILLS,15127,2008,,
396,WEBSTER,36781,2016,,
397,FREMONT,7345,2009,,
398,MARION,33014,2013,,
399,HAMILTON,16233,1995,,
400,POLK,492401,2020,,
401,WASHINGTON,21903,2012,,
402,SHELBY,11574,2017,,
403,CHICKASAW,12763,2002,,
404,DAVIS,8398,1994,,
405,WEBSTER,40037,2001,,
406,WASHINGTON,22565,2020,,
407,BENTON,25307,2000,,
408,FREMONT,6930,2017,,
409,WINNESHIEK,21128,1997,,
410,DECATUR,8137,2015,,
411,MONONA,10020,2000,,
412,MONTGOMERY,10384,2014,,
413,WEBSTER,40342,1990,,
414,MARSHALL,38094,1994,,
415,HAMILTON,15321,2012,,
416,DICKINSON,15783,1997,,
417,MONONA,10045,1993,,
418,DUBUQUE,93072,2009,,
419,HARDIN,17377,2008,,
420,POCAHONTAS,8459,2001,,
421,WOODBURY,102321,2012,,
422,HUMBOLDT,9626,2007,,
423,FREMONT,8194,1992,,
424,GRUNDY,12285,2001,,
425,HANCOCK,12496,1992,,
426,BLACK HAWK,127150,1995,,
427,CHEROKEE,13912,1994,,
428,BUCHANAN,21126,2017,,
429,WASHINGTON,20245,1996,,
430,MITCHELL,10826,2003,,
431,MARSHALL,39259,2009,,
432,BOONE,26136,2012,,
433,POWESHIEK,18662,2007,,
434,PAGE,16002,2005,,
435,UNION,12430,2015,,
436,CARROLL,20423,2015,,
437,WASHINGTON,20982,2002,,
438,DECATUR,7870,2019,,
439,IDA,7295,2004,,
440,CHEROKEE,11684,2007,,
441,LYON,11634,2001,,
442,CALHOUN,9670,2010,,
443,WARREN,47827,2014,,
444,IOWA,16323,2011,,
445,BUCHANAN,20875,2006,,
446,PALO ALTO,10613,1992,,
447,JONES,20364,2009,,
448,LINN,195918,2002,,
449,PALO ALTO,8996,2020,,
450,IOWA,15463,1999,,
451,PAGE,15213,2017,,
452,WOODBURY,102492,2015,,
453,RINGGOLD,4971,2013,,
454,DELAWARE,18139,1992,,
455,CRAWFORD,16775,1990,,
456,BOONE,26297,2007,,
457,DUBUQUE,97066,2017,,
458,POTTAWATTAMIE,83540,1995,,
459,HOWARD,9353,2014,,
460,WOODBURY,99513,1992,,
461,HANCOCK,11310,2007,,
462,CHICKASAW,12002,2017,,
463,HUMBOLDT,10687,1992,,
464,DELAWARE,17205,2009,,
465,WARREN,36033,1990,,
466,HANCOCK,10756,2017,,
467,EMMET,10364,2008,,
468,HARRISON,15544,2003,,
469,WINNEBAGO,11329,2002,,
470,MONTGOMERY,10796,2009,,
471,TAMA,16869,2018,,
472,WARREN,46645,2011,,
473,DELAWARE,17395,2014,,
474,KOSSUTH,17645,1997,,
475,POCAHONTAS,7970,2004,,
476,BUCHANAN,21088,1999,,
477,ADAMS,4866,1990,,
478,LOUISA,12087,1997,,
479,MARION,31280,1997,,
480,MUSCATINE,42745,2010,,
481,POTTAWATTAMIE,93563,2015,,
482,MITCHELL,10781,2009,,
483,TAMA,17728,1994,,
484,CLAYTON,19064,1991,,
485,HENRY,20336,2000,,
486,WINNEBAGO,11723,2000,,
487,WINNEBAGO,10573,2017,,
488,PALO ALTO,9279,2009,,
489,ALLAMAKEE,14484,1996,,
490,SAC,11852,1999,,
491,JACKSON,20225,1999,,
492,AUDUBON,6438,2003,,
493,WOODBURY,102284,2013,,
494,DUBUQUE,88938,1996,,
495,MONROE,8129,1997,,
496,POWESHIEK,18755,2002,,
497,JEFFERSON,15721,2003,,
498,CASS,15090,1994,,
499,GUTHRIE,11353,2000,,
500,UNION,12774,1991,,
501,MUSCATINE,42670,2008,,
502,HOWARD,9811,1991,,
503,CLAY,16732,2006,,
504,LEE,36109,2005,,
505,MAHASKA,22186,2016,,
506,LUCAS,8600,2019,,
507,CERRO GORDO,46945,1995,,
508,WOODBURY,103311,2001,,
509,BOONE,26032,2002,,
510,POWESHIEK,18989,1998,,
511,HOWARD,9469,2020,,
512,HUMBOLDT,9556,2015,,
513,LOUISA,11195,2017,,
514,BUTLER,15501,1998,,
515,RINGGOLD,5049,2011,,
